Local Body Code,Local Body Name,Local Body Type,"District Level
Parent Name
","Intermediate Level
Parent Name",Ward Code,"Ward
Number","Ward Name
(In English)
","Ward Name
(In Local)
"
104052,Huplong,Village Panchayat,North Tripura,Jubarajnagar,112864,1,Huplong I Huplong Bara Line,????? I ????? ?? ????
104052,Huplong,Village Panchayat,North Tripura,Jubarajnagar,761914,2,Huplong II Bazar Tilla,????? II ????? ????
104052,Huplong,Village Panchayat,North Tripura,Jubarajnagar,761915,3,Huplong III North of East Huplong,????? III ????? ????? ?? ????? ???
104052,Huplong,Village Panchayat,North Tripura,Jubarajnagar,761916,4,Huplong IV South of East Huplong,????? IV ????? ????? ?? ?????? ???
104052,Huplong,Village Panchayat,North Tripura,Jubarajnagar,761917,5,Huplong V East Kalikapur,????? V ????? ?????????
104052,Huplong,Village Panchayat,North Tripura,Jubarajnagar,761918,6,Huplong VI West Kalikapur,????? VI ?????? ?????????
104052,Huplong,Village Panchayat,North Tripura,Jubarajnagar,761919,7,Huplong VII West Huplong,????? VII ?????? ?????
104054,Jubarajnagar,Village Panchayat,North Tripura,Jubarajnagar,80040,1,Jubarajnagar I Jubarajnagar west,????????? I ?????? ?????????
104054,Jubarajnagar,Village Panchayat,North Tripura,Jubarajnagar,761959,2,Jubarajnagar II West of Madhya Jubarajnagar,????????? II ???? ????????? ?? ?????? ???
104054,Jubarajnagar,Village Panchayat,North Tripura,Jubarajnagar,761960,3,Jubarajnagar III East of Madhya Jubarajnagar,????????? III ???? ????????? ?? ????? ???
104054,Jubarajnagar,Village Panchayat,North Tripura,Jubarajnagar,761961,4,Jubarajnagar IV Part of Mangakhali S.C.Para of South S.C.Para,????????? IV ?????? ?? ?? ???? ?? ?????????? ?? ?? ????
104054,Jubarajnagar,Village Panchayat,North Tripura,Jubarajnagar,761962,5,Jubarajnagar V South East Jubarajnagar,????????? V ?????? ????? ?????????
104054,Jubarajnagar,Village Panchayat,North Tripura,Jubarajnagar,761963,6,Jubarajnagar VI Part of Jubarajnagar of South Jubarajnagar,????????? VI  ????????? ??  ?????? ????????? ???
104055,Kameswar,Village Panchayat,North Tripura,Jubarajnagar,120492,1,Kameshwar I Signal Basti of West Kameswar North,???????? I ?????? ???????? ????? ?? ??????? ?????
104055,Kameswar,Village Panchayat,North Tripura,Jubarajnagar,762054,2,Kameswar II Madhya Kameswar,???????? II ???? ????????
104055,Kameswar,Village Panchayat,North Tripura,Jubarajnagar,762055,3,Kameswar III Madhya Kameswar of Sanjay Colony,???????? III ???? ???????? ?? ?????? ?????
104055,Kameswar,Village Panchayat,North Tripura,Jubarajnagar,762056,4,Kameswar IV East of Sanjay Colony,???????? IV ?????? ????? ?? ?????
104055,Kameswar,Village Panchayat,North Tripura,Jubarajnagar,762057,5,Kameswar V Natunpalli Mission Tilla Natun Bazar of East Kameswar,???????? V ????? ???????? ?? ????????? ???? ???? ??? ???? ?????
104055,Kameswar,Village Panchayat,North Tripura,Jubarajnagar,762058,6,Kameswar VI Mission Tilla of East Kameswar,???????? VI ????? ???????? ?? ???? ????
104055,Kameswar,Village Panchayat,North Tripura,Jubarajnagar,762059,7,Kameswar VII Bhattacherjee Para Pal para of West Kameswar South,???????? VII ?????? ???????? ?????? ?? ??????????? ???? ??? ??? ????
104056,Lalcherra,Village Panchayat,North Tripura,Jubarajnagar,119107,1,Lalcherra I North Part of Latugaon,?????? I ??????? ?? ????? ???
104056,Lalcherra,Village Panchayat,North Tripura,Jubarajnagar,762075,2,Lalcherra II North Para,?????? II ????? ????
104056,Lalcherra,Village Panchayat,North Tripura,Jubarajnagar,762076,3,Lalcherra III Madhya Para,?????? III ???? ????
104056,Lalcherra,Village Panchayat,North Tripura,Jubarajnagar,762077,4,Lalcherra IV South Para of Lalcherra East para,?????? IV ?????? ????? ???? ?? ?????? ????
104056,Lalcherra,Village Panchayat,North Tripura,Jubarajnagar,762078,5,Lalcherra V Lalcherra West Para,?????? V ?????? ?????? ????
104056,Lalcherra,Village Panchayat,North Tripura,Jubarajnagar,762079,6,Lalcherra VI Latugaon South,?????? VI ??????? ??????
261222,Mangalkhali,Village Panchayat,North Tripura,Jubarajnagar,761990,1,Mangalkhali I Pal Para,????????? I ??? ????
261222,Mangalkhali,Village Panchayat,North Tripura,Jubarajnagar,761991,2,Mangalkhali II North Mangalkhali and Madhya Mangalkhali,????????? II ????? ????????? ??? ???? ?????????
261222,Mangalkhali,Village Panchayat,North Tripura,Jubarajnagar,761992,3,Mangalkhali III Part of Mangalkhali S.C Para of East S.C Para,????????? III ????????? ?? ?? ???? ?? ??? ????? ?? ?? ????
261222,Mangalkhali,Village Panchayat,North Tripura,Jubarajnagar,761993,4,Mangalkhali IV South Mangalkhali and North East Jubarajnagar,????????? IV ?????? ????????? ??? ????? ????? ?????? ???
261222,Mangalkhali,Village Panchayat,North Tripura,Jubarajnagar,761994,5,Mangalkhali V Part of Jubarajnagar of North Madhya Jubarajnagar,????????? V ????? ???? ????????? ?? ????????? ???
104057,North Ganganagar,Village Panchayat,North Tripura,Jubarajnagar,85040,1,North Ganganagar I North West Para,????? ???????? I ????? ?????? ????
104057,North Ganganagar,Village Panchayat,North Tripura,Jubarajnagar,762164,2,North Ganganagar II North East Para and Madhya Para of North Para,????? ???????? II ????? ????? ???? ??? ???????? ?? ????? ????
104057,North Ganganagar,Village Panchayat,North Tripura,Jubarajnagar,762165,3,North Ganganagar III Madhya Para of South East Para,????? ???????? III ?????? ????? ???? ?? ????????
104057,North Ganganagar,Village Panchayat,North Tripura,Jubarajnagar,762166,4,North Ganganagar IV South West Para,????? ???????? IV ?????? ?????? ????
104057,North Ganganagar,Village Panchayat,North Tripura,Jubarajnagar,762167,5,North Ganganagar V Madhya West Para of Madhya Para,????? ???????? V ???????? ?? ???? ?????? ????
104062,Radhapur,Village Panchayat,North Tripura,Jubarajnagar,109783,1,Radhapur I West Side of North East Radhapur,??????? I ????? ????? ??????? ?? ???? ???
104062,Radhapur,Village Panchayat,North Tripura,Jubarajnagar,762206,2,Radhapur II East side of North East Radhapur,??????? II ????? ????? ??????? ?? ????? ???
104062,Radhapur,Village Panchayat,North Tripura,Jubarajnagar,762207,3,Radhapur III East Radhapur,??????? III ????? ??????? ??
104062,Radhapur,Village Panchayat,North Tripura,Jubarajnagar,762208,4,Radhapur IV North Middle Radhapur,??????? IV ??????? ?? ????? ???? ???
104062,Radhapur,Village Panchayat,North Tripura,Jubarajnagar,762209,5,Radhapur V South East Radhapur,??????? V ?????? ????? ???????
104062,Radhapur,Village Panchayat,North Tripura,Jubarajnagar,762210,6,Radhapur VI Madhya Radhapur,??????? VI ???? ???????
104062,Radhapur,Village Panchayat,North Tripura,Jubarajnagar,762211,7,Radhapur VII South East Radhapur of West Radhapur,??????? VII ?????? ??????? ?? ?????? ????? ???????
104063,Rajnagar,Village Panchayat,North Tripura,Jubarajnagar,87217,1,Rajnagar I Laxmipur,?????? I ??????????
104063,Rajnagar,Village Panchayat,North Tripura,Jubarajnagar,762307,2,Rajnagar II North Rajnagar,?????? II ????? ??????
104063,Rajnagar,Village Panchayat,North Tripura,Jubarajnagar,762308,3,Rajnagar III Bairagi Tilla,?????? III ?????? ????
104063,Rajnagar,Village Panchayat,North Tripura,Jubarajnagar,762309,4,Rajnagar IV Rajnagar Bazar of Ananda Bazar,?????? IV ????? ????? ?? ?????? ?????
104063,Rajnagar,Village Panchayat,North Tripura,Jubarajnagar,762310,5,Rajnagar V Madhya Rajnagar,?????? V ???? ??????
104063,Rajnagar,Village Panchayat,North Tripura,Jubarajnagar,762311,6,Rajnagar VI Rajnagar Colony,?????? VI ?????? ?????
104066,South Ganganagar,Village Panchayat,North Tripura,Jubarajnagar,762377,1,South Ganganagar I Das Para of Sukla Baidhya Para,?????? ???????? I ????? ????? ????
104066,South Ganganagar,Village Panchayat,North Tripura,Jubarajnagar,762378,2,South Ganganagar II Bagan Bazar of North West Ganganagar,?????? ???????? II ?????? ?????? ???????? ?? ????? ?????
104066,South Ganganagar,Village Panchayat,North Tripura,Jubarajnagar,762379,3,South Ganganagar III Norh East Ganganagar Natun Tilla of Tea Garden,?????? ???????? III ?? ??????? ?? ????? ????? ???????? ???? ????
104066,South Ganganagar,Village Panchayat,North Tripura,Jubarajnagar,762380,4,South Ganganagar IV Hatidowal Madhya Para,?????? ???????? IV ????????? ???? ????
104066,South Ganganagar,Village Panchayat,North Tripura,Jubarajnagar,762381,5,South Ganganagar V Chakraborty Para Panchayat Office Area of South East Para,?????? ???????? V ?????? ????? ???? ????????? ???? ? ????????  ???? ?????
104066,South Ganganagar,Village Panchayat,North Tripura,Jubarajnagar,762382,6,South Ganganagar VI Acharjee Para and Debnath Para,?????? ???????? VI ??????? ???? ??? ?????? ????
104067,Sripur,Village Panchayat,North Tripura,Jubarajnagar,90833,1,Sripur I Hospital Colony Para,??????? I ???????? ????? ????
104067,Sripur,Village Panchayat,North Tripura,Jubarajnagar,763171,2,Sripur II Madhya Sripur,??????? II ???? ???????
104067,Sripur,Village Panchayat,North Tripura,Jubarajnagar,763172,3,Sripur III North Sripur colony of North Sripur,??????? III ????? ??????? ?? ????? ??????? ????? ??
104067,Sripur,Village Panchayat,North Tripura,Jubarajnagar,763173,4,Sripur IV East Sripur,??????? IV ????? ???????
104067,Sripur,Village Panchayat,North Tripura,Jubarajnagar,763174,5,Sripur V South Sripur,??????? V ?????? ???????
104067,Sripur,Village Panchayat,North Tripura,Jubarajnagar,763175,6,Sripur VI Lenin Colony,??????? VI ????? ?????
104068,Tangibari,Village Panchayat,North Tripura,Jubarajnagar,88862,1,Tangibari I South Part of Sabajpur of Kakrirpar,???????? I ???????? ?? ??????? ?????? ???
104068,Tangibari,Village Panchayat,North Tripura,Jubarajnagar,763272,2,Tangibari II North and East Part of Sabajpur of Tangibari,???????? II ????????? ??????? ????? ??? ????? ???
104068,Tangibari,Village Panchayat,North Tripura,Jubarajnagar,763273,3,Tangibari III Madhya Tangibari South Part of Madhya Tangibari,???????? III ???? ????????? ???? ???????? ?????? ???
104068,Tangibari,Village Panchayat,North Tripura,Jubarajnagar,763274,4,Tangibari IV South Part of East Batarasi and West Part of Singirbil,???????? IV ????? ???????? ?????? ??? ??? ????????? ?? ?????? ???
104068,Tangibari,Village Panchayat,North Tripura,Jubarajnagar,763275,5,Tangibari V North East Part of East Batarasi and East Part of Singirbil,???????? V ????? ??????? ?? ?????? ????? ??? ??? ????????? ?? ????? ???
104068,Tangibari,Village Panchayat,North Tripura,Jubarajnagar,763276,6,Tangibari VI North East part of Sabajpur,???????? VI ???????? ?? ????? ????? ???
104068,Tangibari,Village Panchayat,North Tripura,Jubarajnagar,763277,7,Tangibari VII South Part of Sabajpur,???????? VII ???????? ?? ?????? ???
104069,Uptakhali,Village Panchayat,North Tripura,Jubarajnagar,763338,1,Uptakhali I Silpara of Uptakhali,????????? I ????????? ?? ???????
104069,Uptakhali,Village Panchayat,North Tripura,Jubarajnagar,763339,2,Uptakhali II Manikcherra Para of Uptakhali,????????? II ????????? ?? ???????? ????
104069,Uptakhali,Village Panchayat,North Tripura,Jubarajnagar,763340,3,Uptakhali III Tipragul of Uptakhali,????????? III ????????? ?? ????????
104069,Uptakhali,Village Panchayat,North Tripura,Jubarajnagar,763341,4,Uptakhali IV Bazar Para of Uptakhali and Khudrakandi Panchayat Area,????????? IV ????????? ?? ????? ???? ??? ????????????? ???????? ?????
104069,Uptakhali,Village Panchayat,North Tripura,Jubarajnagar,763342,5,Uptakhali V West Khudrakandi Malakar Para of Khudrakandi,????????? V ????????????? ?? ?????? ????????????? ??????? ????
104069,Uptakhali,Village Panchayat,North Tripura,Jubarajnagar,763343,6,Uptakhali VI Khudrakandi East Para,????????? VI ????????????? ????? ????
261221,West Dewanpasa,Village Panchayat,North Tripura,Jubarajnagar,761819,1,West Dewanpasa I Bhumihin Colony Shilpara of J.B.School para,?????? ?????????? I ?? ?? ????? ???? ?? ??????? ????? ? ???????
261221,West Dewanpasa,Village Panchayat,North Tripura,Jubarajnagar,761820,2,West Dewanpasa II North Dewanpasa,?????? ?????????? II ????? ??????????
261221,West Dewanpasa,Village Panchayat,North Tripura,Jubarajnagar,761821,3,West Dewanpasa III West Part of East Dewanpasa,?????? ?????????? III ????? ?????????? ?? ?????? ???
261221,West Dewanpasa,Village Panchayat,North Tripura,Jubarajnagar,761822,4,West Dewanpasa IV Post Office Para Birat Colony Of Madhya West Dewanpasa,?????? ?????????? IV ???? ?????????? ?? ????????? ???? ? ????? ?????
261221,West Dewanpasa,Village Panchayat,North Tripura,Jubarajnagar,761823,5,West Dewanpasa V Madhya West Dewanpasa of Gobinda Colony Acharjee Para and Bhairabtali,?????? ?????????? V ??????? ????? ?? ???? ?????? ?????????? ??? ???????
261221,West Dewanpasa,Village Panchayat,North Tripura,Jubarajnagar,761824,6,West Dewanpasa VI West Para of West Dewanpasa,?????? ?????????? VI ?????? ?????????? ?? ??????????
104059,West Tilthai,Village Panchayat,North Tripura,Jubarajnagar,763552,1,West Tilthai I East Palgaon,?????? ????? I ????? ???????
104059,West Tilthai,Village Panchayat,North Tripura,Jubarajnagar,763553,2,West Tilthai II Nayapasa,?????? ????? II ???????
104059,West Tilthai,Village Panchayat,North Tripura,Jubarajnagar,763555,3,West Tilthai III East Nayapasa,?????? ????? III ????? ???????
104059,West Tilthai,Village Panchayat,North Tripura,Jubarajnagar,763557,4,West Tilthai IV West Palgaon,?????? ????? IV ?????? ???????
104059,West Tilthai,Village Panchayat,North Tripura,Jubarajnagar,763559,5,West Tilthai V South Palgaon,?????? ????? V ?????? ???????
103999,Baghan,Village Panchayat,North Tripura,Kadamtala,767229,1,Baghan I North Part of Jherjheri Para,????? I ??????? ???? ?? ????? ???
103999,Baghan,Village Panchayat,North Tripura,Kadamtala,767230,2,Baghan II South Part of Jherjheri Para,????? II ??????? ???? ?? ?????? ???
103999,Baghan,Village Panchayat,North Tripura,Kadamtala,767231,3,Baghan III East Part of South and East Baghan,????? III ?????? ??? ????? ????? ?? ????? ???
103999,Baghan,Village Panchayat,North Tripura,Kadamtala,767232,4,Baghan IV South Part of South and East Baghan,????? IV ?????? ??? ????? ????? ?? ?????? ???
103999,Baghan,Village Panchayat,North Tripura,Kadamtala,767233,5,Baghan V Premtala Part of South and East Baghan,????? V ?????? ??? ????? ????? ?? ???????? ???
103999,Baghan,Village Panchayat,North Tripura,Kadamtala,767234,6,Baghan VI Middle Part of West Baghan,????? VI ?????? ????? ?? ???? ???
103999,Baghan,Village Panchayat,North Tripura,Kadamtala,767235,7,Baghan VII West Part of West Baghan,????? VII ?????? ????? ?? ?????? ???
261211,Bargul,Village Panchayat,North Tripura,Kadamtala,768276,1,Bargul I West Part of South Amtila,?????? I
261211,Bargul,Village Panchayat,North Tripura,Kadamtala,768277,2,Bargul II East Part of South Amtila,?????? II
261211,Bargul,Village Panchayat,North Tripura,Kadamtala,768278,3,Bargul III Bargul East Side of Dharmanagar Kadamtala Road and Charra,?????? III
261211,Bargul,Village Panchayat,North Tripura,Kadamtala,768279,4,Bargul IV Bargul East Side of Mara Charra,?????? IV
261211,Bargul,Village Panchayat,North Tripura,Kadamtala,768280,5,Bargul V Bargul East Side of Julaibasa to Kadamtala Road,?????? V
261211,Bargul,Village Panchayat,North Tripura,Kadamtala,768281,6,Bargul VI Amtila Colony,?????? VI
104002,Bishnupur,Village Panchayat,North Tripura,Kadamtala,767294,1,Bishnupur I Maheshpur Bagan and Mahadebbari Para of Bishnupur,????????? I
104002,Bishnupur,Village Panchayat,North Tripura,Kadamtala,767295,2,Bishnupur II Maheshpur Bagan and Malakarpara of Bishnupur,????????? II
104002,Bishnupur,Village Panchayat,North Tripura,Kadamtala,767296,3,Bishnupur III Lalcherra Lohar Gate and Rakahalganj Bazar of Chitaldahar East Part,????????? III
104002,Bishnupur,Village Panchayat,North Tripura,Kadamtala,767297,4,Bishnupur IV Juri River Side and Dastilla of Bakbaki,????????? IV
104002,Bishnupur,Village Panchayat,North Tripura,Kadamtala,767298,5,Bishnupur V Middle Part and Juri River Side of Bakbaki,????????? V
104002,Bishnupur,Village Panchayat,North Tripura,Kadamtala,767299,6,Bishnupur VI Khastila Area of Chitaldahar West Part,????????? VI
104003,Brajendra Nagar,Village Panchayat,North Tripura,Kadamtala,101564,1,Brajendranagar I Kandapara of Tilagaon,????????????? I
104003,Brajendra Nagar,Village Panchayat,North Tripura,Kadamtala,767388,2,Brajendranagar II Madhya Brajendranagar Comprising of Khairapara ST Para and Malakar Para,????????????? II
104003,Brajendra Nagar,Village Panchayat,North Tripura,Kadamtala,767389,3,Brajendranagar III Brajendranagar Bazar and Tanti Para Comprising of Mahisyadas Para and Madrajee Para,????????????? III
104003,Brajendra Nagar,Village Panchayat,North Tripura,Kadamtala,767390,4,Brajendranagar IV Motijil and Deb Para South Side of Katal Gali,????????????? IV
104003,Brajendra Nagar,Village Panchayat,North Tripura,Kadamtala,767391,5,Brajendranagar V Maitkar Para of West Brajendranagar,????????????? V
104003,Brajendra Nagar,Village Panchayat,North Tripura,Kadamtala,767392,6,Brajendranagar VI Madhya Para of Brajendranagar Colony,????????????? VI
104005,Churaibari,Village Panchayat,North Tripura,Kadamtala,767456,1,Churaibari I North Churaibari of West Churaibari and Gajarbil Para,????????? I
104005,Churaibari,Village Panchayat,North Tripura,Kadamtala,767457,2,Churaibari II North Churaibari of West Churaibari and Mukam Para,????????? II
104005,Churaibari,Village Panchayat,North Tripura,Kadamtala,767458,3,Churaibari III Madhya Churaibari of Post Office Para and East Part,????????? III
104005,Churaibari,Village Panchayat,North Tripura,Kadamtala,767459,4,Churaibari IV South Churaibari West Part of Station Para,????????? IV
104005,Churaibari,Village Panchayat,North Tripura,Kadamtala,767460,5,Churaibari V South Churaibari West Part of Railway Station,????????? V
104005,Churaibari,Village Panchayat,North Tripura,Kadamtala,767461,6,Churaibari VI Madhyachuraibari and Asharampara of West Churaibari and West Part,????????? VI
261207,East Churaibari,Village Panchayat,North Tripura,Kadamtala,767534,1,East Churaibari I West Churaibari of North Churaibari West Part,????? ????????? I
261207,East Churaibari,Village Panchayat,North Tripura,Kadamtala,767535,2,East Churaibari II Thanapara of East Churaibari,????? ????????? II
261207,East Churaibari,Village Panchayat,North Tripura,Kadamtala,767536,3,East Churaibari III Sukanta Para of East Churaibari,????? ????????? III
261207,East Churaibari,Village Panchayat,North Tripura,Kadamtala,767537,4,East Churaibari IV ST Para of Tribal Para Bim Basti,????? ????????? IV
261207,East Churaibari,Village Panchayat,North Tripura,Kadamtala,767538,5,East Churaibari V Bhairabpara of Tribal Para Bim Basti,????? ????????? V
261207,East Churaibari,Village Panchayat,North Tripura,Kadamtala,767539,6,East Churaibari VI Netaji Para of North Churaibari East Part,????? ????????? VI
261208,East Fulbari,Village Panchayat,North Tripura,Kadamtala,767789,1,East Fulbari I Madhya East Fulbari,????? ??????? I
261208,East Fulbari,Village Panchayat,North Tripura,Kadamtala,767790,2,East Fulbari II North Part of Khadimpara,????? ??????? II
261208,East Fulbari,Village Panchayat,North Tripura,Kadamtala,767791,3,East Fulbari III South Part of Khadimpara,????? ??????? III
261208,East Fulbari,Village Panchayat,North Tripura,Kadamtala,767792,4,East Fulbari IV East Fulbari,????? ??????? IV
261208,East Fulbari,Village Panchayat,North Tripura,Kadamtala,767793,5,East Fulbari V Nazrul Sarani of South Fulbari East Part,????? ??????? V
261208,East Fulbari,Village Panchayat,North Tripura,Kadamtala,767794,6,East Fulbari VI North Part of South Fulbari,????? ??????? VI
104007,Fulbari,Village Panchayat,North Tripura,Kadamtala,767710,1,Fulbari I West Part of Jalaibari,??????? I
104007,Fulbari,Village Panchayat,North Tripura,Kadamtala,767711,2,Fulbari II Jalaibari East Part of West Fulbari,??????? II
104007,Fulbari,Village Panchayat,North Tripura,Kadamtala,767712,3,Fulbari III Madhya Fulbari of Fulbari,??????? III
104007,Fulbari,Village Panchayat,North Tripura,Kadamtala,767713,4,Fulbari IV South Part of Madhya Fulbari,??????? IV
104007,Fulbari,Village Panchayat,North Tripura,Kadamtala,767714,5,Fulbari V Mujaffarnagar of Gouripur East Part,??????? V
104007,Fulbari,Village Panchayat,North Tripura,Kadamtala,767715,6,Fulbari VI West Part of Gouripur,??????? VI
104010,Kadamtala,Village Panchayat,North Tripura,Kadamtala,767853,1,Kadamtala I North Part of 40 Drun,?????? I
104010,Kadamtala,Village Panchayat,North Tripura,Kadamtala,767854,2,Kadamtala II Madhya Part of 40 Drun,?????? II
104010,Kadamtala,Village Panchayat,North Tripura,Kadamtala,767855,3,Kadamtala III Madhya Baghan,?????? III
104010,Kadamtala,Village Panchayat,North Tripura,Kadamtala,767856,4,Kadamtala IV Hafaitila,?????? IV
104010,Kadamtala,Village Panchayat,North Tripura,Kadamtala,767857,5,Kadamtala V South Kadamtala,?????? V
104010,Kadamtala,Village Panchayat,North Tripura,Kadamtala,767858,6,Kadamtala VI Kadamtala,?????? VI
104010,Kadamtala,Village Panchayat,North Tripura,Kadamtala,767859,7,Kadamtala VII South Part of 40 Drun Saraspur Colony and Kadamtala,?????? VII
104011,Kalagangerpar,Village Panchayat,North Tripura,Kadamtala,767988,1,Kalagangerpar I Saraspur Colony and South West Part of North Bhitorgul,???????????? I
104011,Kalagangerpar,Village Panchayat,North Tripura,Kadamtala,767989,2,Kalagangerpar II South East Part of North Bhitorgul North Side of Brick Soling Road,???????????? II
104011,Kalagangerpar,Village Panchayat,North Tripura,Kadamtala,767990,3,Kalagangerpar III East Kalagangerpar North Side of Karimganji Nala,???????????? III
104011,Kalagangerpar,Village Panchayat,North Tripura,Kadamtala,767991,4,Kalagangerpar IV West Kalagangerpar North Side of Amtala Bazar to Kadamtala Kalachand Bari Road,???????????? IV
104011,Kalagangerpar,Village Panchayat,North Tripura,Kadamtala,767992,5,Kalagangerpar V South Kalagangerpar East Side of Kadamtala Kalachand Bari Road,???????????? V
104011,Kalagangerpar,Village Panchayat,North Tripura,Kadamtala,767993,6,Kalagangerpar VI West Kalagangerpar East Side of Ranibari PWD Road,???????????? VI
104011,Kalagangerpar,Village Panchayat,North Tripura,Kadamtala,767994,7,Kalagangerpar VII South Bhitorgul of East Side of Brick Soling Road,????????????  VII
104012,Kurti,Village Panchayat,North Tripura,Kadamtala,768033,1,Kurti I Maniknagar Colony,?????? I
104012,Kurti,Village Panchayat,North Tripura,Kadamtala,768034,2,Kurti II Kurti Rajnagar and Kurti Bazar,?????? II
104012,Kurti,Village Panchayat,North Tripura,Kadamtala,768035,3,Kurti III Deobari,?????? III
104012,Kurti,Village Panchayat,North Tripura,Kadamtala,768036,4,Kurti IV North Part of Madhya Rajnagar,?????? IV
104012,Kurti,Village Panchayat,North Tripura,Kadamtala,768037,5,Kurti V Middle Part of Madhya Rajnagar,?????? V
104012,Kurti,Village Panchayat,North Tripura,Kadamtala,768038,6,Kurti VI North Part of Jherjheri and South Part of Madhya Rajnagar,?????? VI
104023,North Fulbari,Village Panchayat,North Tripura,Kadamtala,768681,1,North Fulbari I Islam Nagar of Premtala,????? ??????? I
104023,North Fulbari,Village Panchayat,North Tripura,Kadamtala,768682,2,North Fulbari II Netaji Para of Premtala,????? ??????? II
104023,North Fulbari,Village Panchayat,North Tripura,Kadamtala,768683,3,North Fulbari III Alinagar North Part of North Fulbari,????? ??????? III
104023,North Fulbari,Village Panchayat,North Tripura,Kadamtala,768684,4,North Fulbari IV Alinagar and Madrassa Para of North Fulbari,????? ??????? IV
104023,North Fulbari,Village Panchayat,North Tripura,Kadamtala,768685,5,North Fulbari V Choudhuri Para of North Fulbari,????? ??????? V
104023,North Fulbari,Village Panchayat,North Tripura,Kadamtala,768686,6,North Fulbari VI Santi Para of North Fulbari,????? ??????? VI
261210,Rajnagar,Village Panchayat,North Tripura,Kadamtala,768579,1,Rajnagar I South Tarakpur and South Part of Gongarjal West Side of Gongarjal Charra,?????? I
261210,Rajnagar,Village Panchayat,North Tripura,Kadamtala,768580,2,Rajnagar II South Part of South Tarakpur West Side of Kadamtala Ranibari Road,?????? II
261210,Rajnagar,Village Panchayat,North Tripura,Kadamtala,768581,3,Rajnagar III West Part of South Rajnagar,?????? III
261210,Rajnagar,Village Panchayat,North Tripura,Kadamtala,768582,4,Rajnagar IV North Part of North Kalagangerpar and East Part of South Rajnagar,?????? IV
261210,Rajnagar,Village Panchayat,North Tripura,Kadamtala,768583,5,Rajnagar V Part of North Bhitorgul,?????? V
261210,Rajnagar,Village Panchayat,North Tripura,Kadamtala,768584,6,Rajnagar VI South Part of Gongarjal Middle of Rangpur and Gangarjal Road,?????? VI
104017,Ranibari,Village Panchayat,North Tripura,Kadamtala,768105,1,Ranibari I Joy Single Para of Ranibari,???????? I
104017,Ranibari,Village Panchayat,North Tripura,Kadamtala,768106,2,Ranibari II Pearacharra,???????? II
104017,Ranibari,Village Panchayat,North Tripura,Kadamtala,768107,3,Ranibari III South Pearacharra,???????? III
104017,Ranibari,Village Panchayat,North Tripura,Kadamtala,768108,4,Ranibari IV Harinacherra,???????? IV
104017,Ranibari,Village Panchayat,North Tripura,Kadamtala,768109,5,Ranibari V Sonaicharri ST Colony,???????? V
104017,Ranibari,Village Panchayat,North Tripura,Kadamtala,768110,6,Ranibari VI Sonaicharri,???????? VI
261206,Sarala,Village Panchayat,North Tripura,Kadamtala,767588,1,Sarala I Bamnia Para,???? I
261206,Sarala,Village Panchayat,North Tripura,Kadamtala,767589,2,Sarala II Sarala Vitar Line and Sarala of Harinacharra Tribal Para,???? II
261206,Sarala,Village Panchayat,North Tripura,Kadamtala,767590,3,Sarala III Sarala Khudiram Colony,???? III
261206,Sarala,Village Panchayat,North Tripura,Kadamtala,767591,4,Sarala IV South Part of Banglajhum Chhaydrone,???? IV
261206,Sarala,Village Panchayat,North Tripura,Kadamtala,767592,5,Sarala V Staff Querter of Maheshpur,???? V
261206,Sarala,Village Panchayat,North Tripura,Kadamtala,767593,6,Sarala VI Puran Garad Malakar Para of danguatila and North Part of Chhaydrone,???? VI
104019,Saraspur,Village Panchayat,North Tripura,Kadamtala,768230,1,Saraspur I West Saraspur,?????? I
104019,Saraspur,Village Panchayat,North Tripura,Kadamtala,768231,2,Saraspur II Saraspur,?????? II
104019,Saraspur,Village Panchayat,North Tripura,Kadamtala,768232,3,Saraspur III Amtila Majerkandi East side of Saraspur GP Office,?????? III
104019,Saraspur,Village Panchayat,North Tripura,Kadamtala,768233,4,Saraspur IV Amtila Majerkandi East side of Maheshpur Road,?????? IV
104019,Saraspur,Village Panchayat,North Tripura,Kadamtala,768234,5,Saraspur V North Amtila,?????? V
104019,Saraspur,Village Panchayat,North Tripura,Kadamtala,768235,6,Saraspur VI Thekni East Part,?????? VI
104019,Saraspur,Village Panchayat,North Tripura,Kadamtala,768236,7,Saraspur Vii Thekni West Part,?????? VII
104020,Satsangam,Village Panchayat,North Tripura,Kadamtala,768415,1,Satsangam I Part of Meribasti,????????? I
104020,Satsangam,Village Panchayat,North Tripura,Kadamtala,768416,2,Satsangam II Ranibari and Ranibari Tea Estate,????????? II
104020,Satsangam,Village Panchayat,North Tripura,Kadamtala,768417,3,Satsangam III Gangacharra,????????? III
104020,Satsangam,Village Panchayat,North Tripura,Kadamtala,768418,4,Satsangam IV East Part of Khulidahar,????????? IV
104020,Satsangam,Village Panchayat,North Tripura,Kadamtala,768419,5,Satsangam V West Part of Khulidahar,????????? V
104020,Satsangam,Village Panchayat,North Tripura,Kadamtala,768420,6,Satsangam VI Birajanagar,????????? VI
104020,Satsangam,Village Panchayat,North Tripura,Kadamtala,768421,7,Satsangam VII Satsangam,????????? VII
261209,South Kadamtala,Village Panchayat,North Tripura,Kadamtala,767908,1,South Kadamtala I South Side of NEC Road of Bargul,?????? ?????? I
